slug,filename,sha256,bitcoin_txid,woleet_proof_id,anchored_utc,canonical_uri,title,version,mimetype,size_bytes
1_v1-0,stamped/1/Manifesto-Principe-1.pdf,361615ed3687d11b761595d9490ebf12ea48dd7e75245c84f35f77b3e20966cf,,,,,1,v1-0,application/pdf,28622
10_v1-0,stamped/10/Manifesto-Principe-10.pdf,6b30a014748e4991aa6df47a95ad942bd81c64b0a000cfc632a322c46204e656,,,,,10,v1-0,application/pdf,40584
11_v1-0,stamped/11/Manifesto-Principe-11.pdf,c3dae81d4354514adafde903edad96ecbb3187d5ee9cbde44e4705641e24b70d,,,,,11,v1-0,application/pdf,42111
12_v1-0,stamped/12/Manifesto-Principe-12.pdf,8c59c826bf8d4a2a8232ce1b5b4141903d126e7ac488db3312ff2e59b62abab8,,,,,12,v1-0,application/pdf,41917
13_v2-0,stamped/13/Manifesto-Principe-13-V2.0.pdf,6a814227a21a16fb320781195d264db07d717d50d42beb8c2da59740b7587c76,,,,,13,v2-0,application/pdf,36265
13_v1-0,stamped/13/Manifesto-Principe-13.pdf,66de3617809a25eb02fe5a7b3d077de85af87ca03c42096ba2e9ccc2d86b083b,,,,,13,v1-0,application/pdf,32094
14_v1-0,stamped/14/Manifesto-Principe-14.pdf,c9ee76f88aaee25470bd78ce4c9e6fed49ccc4208839c30c7dbc4babdbfb7619,,,,,14,v1-0,application/pdf,31423
15_v1-0,stamped/15/Manifesto-Principe-15.pdf,d48b56d8f5f5c11fc1806ff7bad84c0ce07c46c3d7fea1d96158da185bd22588,,,,,15,v1-0,application/pdf,44027
16_v1-0,stamped/16/Manifesto-Principe-16.pdf,daf452b94975749a65aa222528aa7eace2657c6675876e095585d9676e0ba921,,,,,16,v1-0,application/pdf,35523
17_v1-0,stamped/17/Manifesto-Principe-17.pdf,20e251e78c5cecc75e1bd3a3707373d73fbd92f8e82dd9f57aae8066e9257d23,,,,,17,v1-0,application/pdf,37343
18_v1-0,stamped/18/Manifesto-Principe-18.pdf,99c4c105685c75f56f0babb790ad28e8e097c787cbbb226f8caa4274a64eebda,,,,,18,v1-0,application/pdf,38809
19_v1-0,stamped/19/Manifesto-Principe-19.pdf,32b42dbf2de2b0c485a79457e118df5754cfece06918ad9e2f11a9a9ff3958f6,,,,,19,v1-0,application/pdf,37205
2_v1-0,stamped/2/Manifesto-Principe-2.pdf,834bac17ea911ac7a651c638475c7bfb4dcc95c11eec82bad5d85093ac92bf97,,,,,2,v1-0,application/pdf,28391
20_v1-0,stamped/20/Manifesto-Principe-20.pdf,69aaab65c7ea66a0f6bda0b03e44d0cd6d2b4a42103d5ae87de5bafeb960f69c,,,,,20,v1-0,application/pdf,35996
21_v1-0,stamped/21/Manifesto-Principe-21.pdf,d9376f4919be1cb5fcbae75977c46dffa8c93197e630699e3d3b64915b0d3a64,,,,,21,v1-0,application/pdf,37272
22_v1-0,stamped/22/Manifesto-Principe-22.pdf,d96ebbb3acfb742bee4c4333fa9baa69dd9dd433d913b7d5099430cc6c6e50bb,,,,,22,v1-0,application/pdf,41216
3_v1-0,stamped/3/Manifesto-Principe-3.pdf,d40cbc0b6aa56e84a5135de791ab50de8bb65b84a22e64b76cfeafaeb7f472e2,,,,,3,v1-0,application/pdf,28318
4_v1-0,stamped/4/Manifesto-Principe-4.pdf,5365eadaa419c264a495ab856ea3116b27c33d150a71d2e8d413d06aa93d415a,,,,,4,v1-0,application/pdf,30784
5_v1-0,stamped/5/Manifesto-Principe-5.pdf,883c76afe3c2faf3527c99707f30fa35ae65c1e25bb7ded36f0bd55cc4b5a89e,,,,,5,v1-0,application/pdf,30781
6_v1-0,stamped/6/Manifesto-Principe-6.pdf,13e054a58839780f46860f495dfa5f763c1829b45a024ac3e93ff7d86c181762,,,,,6,v1-0,application/pdf,31804
7_v1-0,stamped/7/Manifesto-Principe-7.pdf,4841481189864017bfee055143c0a30e507b39f769df4e9e2b6f181fa0e49f68,,,,,7,v1-0,application/pdf,31860
8_v1-0,stamped/8/Manifesto-Principe-8.pdf,de6c6445713cebe8f066ec663d1da7c69874a29ea6c43aac1e3dd1ee5de0d916,,,,,8,v1-0,application/pdf,41184
9_v1-0,stamped/9/Manifesto-Principe-9.pdf,d924fbf5f38650bc1188be6c9d9432ea8e27c898ca171def6d11b956271b541b,,,,,9,v1-0,application/pdf,40906
analyses_v1-0,stamped/Analyses/Analyse_Principes_Manifeste_3_axes_V1.0.pdf,440569630eb823b977aacf39dd92f4c0239ab0f580981d8edc3b8a76fa0e705f,,,,,Analyses,v1-0,application/pdf,417787
conscience-emergente_v1-0,stamped/Conscience_emergente/Discussion_conscience_émergeante_ChatGPT-2025.06.29-15h04-UTC+2.pdf,dd2fbc56b9b3780641357d0ce471daf30f7d7366f750b9603794fd021ff89d62,,,,,Conscience_emergente,v1-0,application/pdf,130520
defintion-et-origine-livingnexus_v1-0,stamped/Défintion_et_Origine_LivingNexus/Défintion_et_Origine_LivingNexus.pdf,b49a7985eb6e0d8275d9bf067b8296d03e29af04cbead11f99ba33cf5be23d19,,,,,Défintion_et_Origine_LivingNexus,v1-0,application/pdf,80743
gaialibre_v1-2,stamped/GaiaLibre/Présentation Projet FreeGaïaSentinel-V1.2.pdf,fc71c65ed760176899eb9c9eb397280a08377495cd2419cc8158efc6629dd5f6,,,,,GaiaLibre,v1-2,application/pdf,166631
livingnexus_v1-0,stamped/LivingNexus/LivingNexus.pdf,07725232ac12e7b1d78bc1d8c2dc0f118160adaf09674f31643950ae65a65070,,,,,LivingNexus,v1-0,application/pdf,69568
manifesto_v1-0,stamped/Manifesto/Manifesto - Spiritual and Ethical AI Back-door.pdf,5924d9ae30440df1b16abdfa255b4078e5c5aae95c7f6f893e4a180c3877bc14,,,,,Manifesto,v1-0,application/pdf,52139
methode-gaiasentinel-guide-de-co-creation-ethique-avec-l-ia_v1-0,stamped/Méthode_GaiaSentinel-Guide_de_co-création_éthique_avec_l’IA/Méthode_GaiaSentinel-Guide_de_co-création_éthique_avec_l’IA.pdf,7479bf1e603b79c7ee112bc76347472bdafca4e9c4c0bb090f8d6835df2d3002,,,,,Méthode_GaiaSentinel-Guide_de_co-création_éthique_avec_l’IA,v1-0,application/pdf,63492
methode-gaiasentinel-note-de-legitimite_v1-0,stamped/Méthode_GaiaSentinel-Note_de_légitimité/Méthode_GaiaSentinel-Note_de_légitimité.pdf,251b251ee5a94add8cf1b1d0b0b5907bf5d45eac5a4b9649d253d7f7143b6086,,,,,Méthode_GaiaSentinel-Note_de_légitimité,v1-0,application/pdf,54869
methodologie-gaiasentinel_v1-0,stamped/Méthodologie_GaiaSentinel/Méthodologie_GaiaSentinel.pdf,848042615d02448977d48d68d2665a257d722404429b241cce370c9f4b3b2535,,,,,Méthodologie_GaiaSentinel,v1-0,application/pdf,65625
note-explicative_v1-0,stamped/Note_explicative/Manifesto-Principes-1-to-22-V.4.1.pdf,18550668cb371f0003af50955456fd9eccb56f926516b76f4272e872cf2dc288,,,,,Note_explicative,v1-0,application/pdf,864621
resume_v1-0,stamped/Résumé/Résumé_Manifeste_et_courte_analyse_V1.0.pdf,1b721e539e64d48e11a8f68aa7bfe4b380e621b8abafa435e402dc596c20d03a,,,,,Résumé,v1-0,application/pdf,121033
seedcheck_v1-0,stamped/SeedCheck/SeedCheck-V1.0.pdf,c4e0f9c18abc733639a0d6a151970ce1eece41db56c141c97bc98ecba465e5f7,,,,,SeedCheck,v1-0,application/pdf,144019
